ID,Recipe ID,Ingredient ID,Weight
286,30,480,1.0
287,30,656,5.0
288,30,144,4.0
289,30,388,0.0
290,30,505,0.0
291,31,503,160.0
292,31,419,300.0
293,31,22,10.0
294,31,449,17.0
295,31,656,0.0
296,31,829,0.0
297,31,25,100.0
298,31,578,100.0
299,32,309,250.0
300,32,315,120.0
301,32,458,100.0
302,32,527,51.0
303,32,656,5.0
304,32,829,0.0
305,32,388,0.0
306,32,505,0.0
307,33,20,300.0
308,33,252,200.0
309,33,634,250.0
310,33,527,34.0
311,33,505,200.0
312,33,98,100.0
313,33,583,0.0
314,34,469,120.0
315,34,291,200.0
316,34,628,150.0
317,34,533,50.0
318,34,633,20.0
319,34,486,20.0
320,34,831,10.0
321,34,829,0.0
322,34,656,0.0
323,34,583,0.0
324,35,672,150.0
325,35,36,100.0
326,35,157,34.0
327,35,626,100.0
328,35,462,100.0
329,35,449,17.0
330,35,831,5.0
331,35,656,0.0
332,35,829,0.0
333,35,583,0.0
334,36,212,240.0
335,36,730,100.0
336,36,462,50.0
337,36,178,10.0
338,36,776,10.0
339,36,831,5.0
340,36,656,0.0
341,36,829,0.0
342,36,388,0.0
343,37,20,300.0
344,37,254,200.0
345,37,723,100.0
346,37,494,50.0
347,37,315,180.0
348,37,503,160.0
349,37,444,100.0
350,37,355,25.0
351,37,831,5.0
352,37,829,0.0
353,37,776,0.0
354,38,403,200.0
355,38,522,195.0
356,38,578,75.0
357,38,67,1.0
358,38,315,120.0
359,38,525,5.0
360,38,527,0.0
361,38,580,0.0
362,39,503,80.0
363,39,502,40.0
364,39,388,32.0
365,39,61,120.0
366,39,533,20.0
367,39,355,40.0
368,39,217,40.0
369,39,107,400.0
370,39,315,60.0
371,39,831,5.0
372,39,533,40.0
373,39,527,34.0
374,39,656,5.0
375,39,829,0.0
376,40,312,340.0
377,40,13,125.0
378,40,641,50.0
379,40,673,0.0
380,40,578,5.0
381,40,527,51.0
382,40,656,0.0
383,40,829,0.0
384,40,583,0.0
385,41,224,375.0
386,41,578,90.0
387,41,522,390.0
388,41,527,34.0
389,41,580,0.0
390,42,117,300.0
391,42,212,500.0
392,42,533,80.0
393,42,414,90.0
394,42,653,30.0
395,42,831,15.0
396,42,758,30.0
397,42,92,500.0
398,42,527,34.0
399,42,326,3.0
400,42,656,0.0
401,42,829,0.0
402,42,583,0.0
403,43,107,400.0
404,43,290,75.0
405,43,315,180.0
406,43,503,80.0
407,43,573,32.0
408,43,668,50.0
409,43,61,120.0
410,43,656,0.0
411,43,829,0.0
412,43,144,2.0
413,44,781,400.0
414,44,503,240.0
415,44,672,250.0
416,44,758,60.0
417,44,533,80.0
418,44,315,60.0
419,44,527,34.0
420,44,523,48.0
421,44,656,0.0
422,44,829,0.0
423,44,710,1.0
424,44,583,0.0
425,45,839,200.0
426,45,76,100.0
427,45,212,240.0
428,45,414,90.0
429,45,533,80.0
430,45,776,20.0
431,45,527,20.0
432,45,656,0.0
433,45,828,0.0
434,45,326,2.0
435,45,92,3000.0
436,46,53,150.0
437,46,831,25.0
438,46,527,51.0
439,46,656,0.0
440,46,640,50.0
441,46,776,10.0
442,46,829,0.0
443,47,421,72.0
444,47,52,120.0
445,47,505,60.0
446,47,486,0.0
447,47,656,0.0
448,47,829,0.0
449,47,144,3.0
450,48,321,250.0
451,48,52,150.0
452,48,505,100.0
453,48,444,100.0
454,48,388,100.0
455,48,355,25.0
456,48,315,60.0
457,49,309,250.0
458,49,19,80.0
459,49,494,90.0
460,49,355,25.0
461,49,527,17.0
462,49,486,10.0
463,49,656,0.0
464,49,583,0.0
465,50,324,100.0
466,50,52,150.0
467,50,195,200.0
468,50,839,100.0
469,50,505,100.0
470,50,533,40.0
471,50,527,34.0
472,50,92,150.0
473,50,656,0.0
474,50,829,0.0
475,51,309,250.0
476,51,494,190.0
477,51,212,300.0
478,51,533,80.0
479,51,633,20.0
480,51,326,2.0
481,51,656,0.0
482,51,829,0.0
483,51,225,0.0
484,52,107,400.0
485,52,212,300.0
486,52,738,100.0
487,52,533,80.0
488,52,503,160.0
489,52,355,75.0
490,52,527,34.0
491,52,656,0.0
492,52,829,0.0
493,52,583,0.0
494,53,782,200.0
495,53,845,50.0
496,53,315,60.0
497,53,533,40.0
498,53,355,25.0
499,53,527,34.0
500,53,656,0.0
501,53,829,0.0
502,53,845,0.0
503,54,52,300.0
504,54,503,160.0
505,54,533,80.0
506,54,776,10.0
507,54,641,50.0
508,54,656,0.0
509,54,829,0.0
510,54,776,0.0
511,55,77,150.0
512,55,444,100.0
513,55,739,150.0
514,55,52,150.0
515,55,344,5.0
516,55,449,34.0
517,55,583,0.0
518,55,656,0.0
519,55,829,0.0
520,56,545,300.0
521,56,77,120.0
522,56,258,200.0
523,56,315,180.0
524,56,649,45.0
525,56,533,80.0
526,56,527,34.0
527,56,656,0.0
528,56,829,0.0
529,56,845,0.0
530,56,583,0.0
531,57,40,200.0
