ID,Recipe ID,Ingredient ID,Weight
147,16,263,60.0
148,16,627,15.0
149,16,321,20.0
150,16,370,8.5
151,16,547,0.0
152,17,257,100.0
153,17,212,100.0
154,17,206,100.0
155,17,608,50.0
156,17,706,100.0
157,17,442,40.0
158,17,698,2.5
159,17,437,8.5
160,17,547,2.5
161,17,297,12.5
162,17,403,0.0
163,18,172,500.0
164,18,437,50.0
165,18,263,30.0
166,18,431,25.0
167,18,547,2.5
168,18,696,0.0
169,18,534,50.0
170,18,403,5.0
171,18,653,5.0
172,18,698,2.5
173,18,544,25.0
174,19,431,100.0
175,19,622,150.0
176,19,482,50.0
177,19,329,50.0
178,19,527,50.0
179,19,263,60.0
180,19,435,5.0
181,19,59,5.0
182,19,484,0.0
183,20,43,75.0
184,20,418,80.0
185,20,2,100.0
186,20,145,5.0
187,20,403,5.0
188,20,698,2.5
189,20,275,15.0
190,20,370,17.0
191,20,547,0.0
192,20,696,0.0
193,20,403,0.0
194,21,352,200.0
195,21,140,100.0
196,21,520,100.0
197,21,637,30.0
198,21,561,0.0
199,21,547,1.0
200,21,696,0.0
201,21,437,17.0
202,21,487,0.0
203,22,661,200.0
204,22,46,200.0
205,22,43,150.0
206,22,342,45.0
207,22,566,22.5
208,22,442,40.0
209,22,698,10.0
210,22,282,60.0
211,22,541,22.5
212,22,437,17.0
213,22,547,0.0
214,22,696,0.0
215,22,561,0.0
216,22,487,0.0
217,23,365,50.0
218,23,580,100.0
219,23,321,90.0
220,23,2,100.0
221,23,649,100.0
222,23,420,125.0
223,23,275,30.0
224,23,370,25.5
225,23,72,9.0
226,23,547,0.0
227,23,696,0.0
228,24,18,105.0
229,24,627,70.0
230,24,113,22.5
231,24,653,5.0
232,24,698,2.5
233,24,437,17.0
234,24,547,5.0
235,24,696,0.5
236,25,172,200.0
237,25,706,100.0
238,25,442,40.0
239,25,437,50.0
240,25,403,5.0
241,25,653,5.0
242,25,698,2.5
243,25,547,0.0
244,26,442,20.0
245,26,369,15.0
246,26,263,60.0
247,26,547,0.5
248,26,696,0.5
249,26,527,2.5
250,26,615,25.0
251,26,420,0.0
252,26,653,0.0
253,26,369,0.0
254,27,648,100.0
255,27,619,9.0
256,27,297,12.5
257,27,263,30.0
258,27,365,30.0
259,27,145,10.0
260,27,653,10.0
261,27,487,0.0
262,28,14,40.0
263,28,207,125.0
264,28,263,60.0
265,28,417,100.0
266,28,698,7.5
267,28,297,25.0
268,28,487,0.0
269,28,653,0.0
270,29,115,82.5
271,29,262,150.0
272,29,342,45.0
273,29,442,40.0
274,29,437,25.5
275,29,547,0.0
276,29,696,0.0
277,29,80,150.0
278,29,420,0.0
279,29,653,0.0
280,30,262,100.0
281,30,437,17.0
282,30,541,7.5
283,30,228,3.5
284,30,482,6.25
285,30,698,2.5
286,30,397,0.5
287,30,547,2.5
288,30,124,2.0
289,30,321,0.0
290,30,420,0.0
291,31,418,80.0
292,31,345,150.0
293,31,17,5.0
